Words,Avg Guesses,Failures
slunk,4.2853722246408354,264
slurp,4.202437962559861,214
slurs,4.346756639094471,266
slush,4.402916848062691,289
sluts,4.313887679582064,252
slyer,4.275576839355681,268
slyly,4.640618197649108,369
smack,4.241619503700479,189
small,4.324336090552895,228
smart,4.113408794079234,175
smash,4.368741837178929,219
smear,4.184153243360906,218
smell,4.346538963865912,257
smelt,4.154984762734001,193
smile,4.1560731388767955,214
smirk,4.218981279930344,205
smite,4.1652154984762735,213
smith,4.213104048759251,196
smock,4.250544188071397,187
smoke,4.249020461471485,226
smoky,4.325859817152808,232
smote,4.15302568567697,183
smuts,4.3667827601218985,257
snack,4.235306922072268,202
snafu,4.2977797126686985,267
snags,4.354157596865477,255
snail,4.1839355681323465,249
snake,4.226164562472791,254
snaky,4.27579451458424,242
snaps,4.285807575097954,210
snare,4.148019155420113,235
snarl,4.151284283848498,205
sneak,4.243143230300392,238
sneer,4.345232912494558,291
snide,4.199390509360035,245
sniff,4.451458424031345,286
snipe,4.174793208532869,228
snips,4.356987374836743,272
snits,4.341532433609055,290
snobs,4.367218110579016,250
snoop,4.319764910753157,229
snoot,4.292120156726164,237
snore,4.161297344362212,228
snort,4.124727905964301,212
snots,4.288637353069221,237
snout,4.193730953417501,238
snows,4.401610796691337,276
snowy,4.304092294296909,249
snubs,4.436003482803657,293
snuck,4.287766652154985,251
snuff,4.48693948628646,311
snugs,4.4636482368306485,324
soaks,4.437962559860688,318
soaps,4.343056160208969,260
soapy,4.242490204614715,245
soars,4.32760121898128,285
sober,4.193513278188942,231
socks,4.460600783630823,305
sodas,4.370265563778842,291
sofas,4.412059207662168,297
softy,4.297344362211581,238
soggy,4.52590335219852,351
soils,4.33848498040923,287
solar,4.179146713104049,228
soled,4.1606443186765345,224
soles,4.332390074009577,289
solid,4.176969960818459,228
solos,4.507183282542447,325
solve,4.257292120156726,237
sonar,4.17022202873313,229
songs,4.3992163691771875,303
sonic,4.236612973443622,243
sonny,4.446016543317371,322
sooth,4.347845015237266,256
sooty,4.424466695690031,300
soppy,4.466695690030474,300
sorer,4.354810622551153,300
sores,4.335437527209404,293
sorry,4.442969090117544,325
sorta,4.158685241619503,224
sorts,4.284066173269482,250
sough,4.366129734436221,298
souls,4.402046147148455,311
sound,4.260339573356552,280
soups,4.418807139747496,299
soupy,4.332390074009577,290
sours,4.393992163691772,305
souse,4.51066608619939,385
south,4.265563778841968,259
sowed,4.252938615585546,247
sower,4.224858511101437,237
space,4.157814540705267,207
spacy,4.2150631258162825,195
spade,4.158685241619503,209
spake,4.213104048759251,225
spams,4.295385285154549,193
spank,4.179146713104049,187
spans,4.273835437527209,209
spare,4.120374401393121,195
spark,4.170439703961689,181
spars,4.262734000870701,214
spasm,4.317805833696125,194
spate,4.107096212451023,183
spats,4.266434479756204,201
spawn,4.153243360905529,148
spays,4.373313016978668,236
speak,4.246626033957336,231
spear,4.152154984762734,204
speck,4.236612973443622,186
specs,4.321723987810187,217
speed,4.339573356552024,250
spell,4.318894209838921,249
spelt,4.143665650848933,202
spend,4.154984762734001,187
spent,4.136264693077928,176
sperm,4.150631258162821,155
spews,4.372006965607314,236
spice,4.18741837178929,222
spicy,4.257509795385285,235
spied,4.193295602960383,227
spiel,4.139312146277754,200
spies,4.3767958206356115,305
spike,4.252285589899869,239
spiky,4.319547235524597,260
